Place ID,Name,Latitude,Longitude,Type,Rating,Reviews,Freguesias
ChIJ0RckvoZ0Gg0RcGYWWEYydSE,Conservatório Regional do Baixo Alentejo,38.0155664,-7.865531,"['point_of_interest', 'establishment']",4.8,6,Beja
ChIJmXyeJ4R0Gg0RCpc4CKh7cW4,Centro Social do Lidador,38.0166887,-7.864950800000001,"['point_of_interest', 'establishment']",5,3,Beja
ChIJYdTowoZ0Gg0R5YVk2uTVqJo,Clube Bilhar de Beja - CBB,38.0147203,-7.8654757,"['point_of_interest', 'establishment']",4.8,4,Beja
ChIJfbOOdoh0Gg0RxPvfiLxhe40,Crédito Agricola - Beja,38.0133262,-7.861084899999998,"['bank', 'finance', 'point_of_interest', 'establishment']",3.8,4,Beja
ChIJR8c55od0Gg0RmIXwNT4ES0k,"Disfarce Real - Mediação Imobiliária, Lda.",38.0127849,-7.8619691,"['real_estate_agency', 'point_of_interest', 'establishment']",No rating,0,Beja
ChIJD2tZn4d0Gg0RG_SVw1qpvKE,Centro Auditivo Acústica Médica - Beja,38.0127058,-7.862062300000001,"['doctor', 'health', 'store', 'point_of_interest', 'establishment']",3.8,12,Beja
ChIJQZ05poZ0Gg0RctAexSp3pJ8,A Igreja de Jesus Cristo dos Santos dos Últimos Dias,38.01595409999999,-7.8660241,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",5,6,Beja
ChIJc1Gi64d0Gg0RYxNzM941S0w,Minisom Beja,38.0126169,-7.862442300000001,"['health', 'store', 'point_of_interest', 'establishment']",4.6,14,Beja
ChIJi1u3Qoh0Gg0R6xEZ485VO1g,SEF - Serviço de Estrangeiros e Fronteiras,38.01372139999999,-7.859949400000001,"['point_of_interest', 'establishment']",3.8,94,Beja
ChIJF4YCmYd0Gg0R-nkWHBvu_G8,Associação De Patinagem Do Alentejo,38.0126096,-7.8635202,"['point_of_interest', 'establishment']",4.5,2,Beja
ChIJ0caA64d0Gg0R55NEYGeKYt4,Clínica Dentária Personal Unipessoal Lda,38.0125252,-7.8624496,"['health', 'point_of_interest', 'establishment']",4.5,15,Beja
ChIJtRFxJod0Gg0RGDyKa9mA_MA,Agência Abreu - Beja,38.0137758,-7.8657839,"['travel_agency', 'point_of_interest', 'establishment']",4.5,24,Beja
ChIJXaxN14Z0Gg0RhGYzih-5Yn0,Florista Soflor,38.01423629999999,-7.866090299999999,"['florist', 'store', 'point_of_interest', 'establishment']",4.3,43,Beja
ChIJC_61dId0Gg0R7cvQ1JGGiy0,Balcão Santander Beja,38.0127435,-7.864342999999998,"['finance', 'point_of_interest', 'establishment']",2.5,15,Beja
ChIJO_PkYRozGQ0R0DaQ5L3rAAQ,Lisbon,38.7222524,-9.1393366,"['locality', 'political']",No rating,0,Arroios
ChIJJe-0YKIzGQ0Rsf6trPcrOkg,TURIM Alameda Hotel,38.73535919999999,-9.137616099999995,"['lodging', 'point_of_interest', 'establishment']",4,1055,Arroios
ChIJB3JMGp8zGQ0RQtqQ62n9X2g,ibis Lisboa Centro Saldanha,38.73207479999999,-9.1423912,"['lodging', 'point_of_interest', 'establishment']",4.2,2338,Arroios
ChIJWV2AjKczGQ0RZ51ANY7MZyU,Hotel Alif Campo Pequeno,38.7420992,-9.1433492,"['lodging', 'point_of_interest', 'establishment']",3.9,1614,Areeiro
ChIJL-GifL4zGQ0RJAeQjrdo3kQ,Hotel Dom Afonso Henriques - DAH,38.7372113,-9.1283037,"['lodging', 'point_of_interest', 'establishment']",4,886,Penha de França
ChIJ0Vo6rp4zGQ0R3RsSOLInyG8,NEYA Lisboa Hotel,38.72944440000001,-9.1405556,"['lodging', 'point_of_interest', 'establishment']",4.3,1468,Arroios
ChIJ7yS9VpczGQ0R9COtLNlfzko,Hotel AS Lisboa,38.7376712,-9.1336002,"['lodging', 'point_of_interest', 'establishment']",4,1578,Areeiro
ChIJzfEHQaEzGQ0RuUGJFd2ScUs,"Holiday Inn Lisbon, an IHG Hotel",38.7382244,-9.141402800000002,"['lodging', 'point_of_interest', 'establishment']",4.1,2469,Areeiro
ChIJn2LQKKAzGQ0RxEZAwpMkuEM,Olissippo Saldanha Hotel,38.734067,-9.143461,"['lodging', 'point_of_interest', 'establishment']",4.5,569,Arroios
ChIJTSb22JgzGQ0RClFElq2Xfcg,Dinya Lisbon Hotel & Lounge Bar,38.7318919,-9.1392025,"['lodging', 'point_of_interest', 'establishment']",4,474,Arroios
ChIJvZpr1JgzGQ0Rpb8BO95eXAY,M'AR De AR Auria,38.731796,-9.1398684,"['lodging', 'point_of_interest', 'establishment']",3.9,432,Arroios
ChIJ4dPEKZYzGQ0R5EXENNTdO3o,Do Colegio,38.7347164,-9.131316599999998,"['school', 'point_of_interest', 'establishment']",4.8,6,Arroios
ChIJ95pQMKAzGQ0R2fpUk5nxFqA,Duque de Saldanha - Bed & Breakfast,38.73457399999999,-9.1435647,"['lodging', 'point_of_interest', 'establishment']",3,242,Arroios
ChIJRS85858zGQ0RsvCwZyqJm_8,My Rainbow Rooms Gay Men's Guest House,38.7321415,-9.1434171,"['lodging', 'point_of_interest', 'establishment']",4.4,68,Arroios
ChIJ7UnrNXUzGQ0RTOkXYrRHRVw,Hotel Zenit Lisboa,38.73318139999999,-9.147110999999995,"['lodging', 'point_of_interest', 'establishment']",4.2,1372,Avenidas Novas
ChIJ0WgWN5ozGQ0RyJ_x2vuU6uY,Turim Luxe Hotel,38.7280976,-9.136743699999998,"['lodging', 'point_of_interest', 'establishment']",3.7,771,Arroios
ChIJD4FhtpczGQ0RczD1dDYO-PQ,Be My Guest Hostel Lisbon,38.7332668,-9.1321794,"['lodging', 'point_of_interest', 'establishment']",3.8,154,Arroios
ChIJN9LZwp8zGQ0R7G04Qeb3DrE,VIP Executive Saldanha Hotel,38.7322889,-9.1447665,"['lodging', 'point_of_interest', 'establishment']",3.9,579,Arroios
ChIJv518aaIzGQ0RxqTPRBqo4_s,AEIST - Associação dos Estudantes do Instituto Superior Técnico,38.7365005,-9.1371965,"['point_of_interest', 'establishment']",4.5,28,Areeiro
ChIJr4aXB7kzGQ0R0ECQ5L3rAAU,Alto do Pina,38.741539,-9.1276295,"['neighborhood', 'political']",No rating,0,Areeiro
ChIJE72nLyIzGQ0R1TT5bmgBIuA,Home Out Lda,38.7380007,-9.1349817,"['lodging', 'point_of_interest', 'establishment']",4.5,146,Areeiro
ChIJE8yUtJ8zGQ0Rju5UPNKIrLU,DoubleTree by Hilton Lisbon - Fontana Park,38.7313203,-9.1440145,"['lodging', 'point_of_interest', 'establishment']",4.1,1895,Arroios
ChIJozP90ZkzGQ0RUXfgX6KpFrI,Hotel do Chile,38.7315252,-9.135247799999998,"['lodging', 'point_of_interest', 'establishment']",3.8,563,Arroios
ChIJo6JP_5kzGQ0R0XdWGm9r7TE,Czar Lisbon Hotel,38.72932789999999,-9.1348492,"['lodging', 'point_of_interest', 'establishment']",4.1,1213,Arroios
ChIJ61ayiqIzGQ0RaIYnCA9eRuM,Live Lisboa Hostel,38.735579,-9.1372613,"['lodging', 'point_of_interest', 'establishment']",4.5,99,Arroios
ChIJvawAmgozGQ0RMnyKbtKoys0,Patria Hotel,38.7352605,-9.1465032,"['lodging', 'point_of_interest', 'establishment']",4.1,453,Avenidas Novas
ChIJ0wd6NaAzGQ0RL1r68f_og-A,Chalet d'Ávila Guest House,38.735005,-9.143025,"['lodging', 'point_of_interest', 'establishment']",4.7,779,Arroios
ChIJhcqe4AozGQ0RSJrY-fJbK8s,Flower Court - Guest House,38.73475869999999,-9.1481371,"['lodging', 'point_of_interest', 'establishment']",4.6,26,Avenidas Novas
ChIJ05CEOqAzGQ0RvZjwjXxCFeg,O Quinto Esquerdo,38.73457399999999,-9.1435646,"['lodging', 'point_of_interest', 'establishment']",4.7,6,Arroios
ChIJ13R01ZgzGQ0RKYquIT2scv4,Be Lisbon Hostel,38.731552,-9.139929,"['lodging', 'point_of_interest', 'establishment']",4.5,318,Arroios
